"","Gene_ID","exons.x","genes.x","introns.x","exons.y","genes.y","introns.y"
"1","ENSMUSG00000050530",2116,0,0,0,2636,0
"2","ENSMUSG00000026643",1711,0,0,0,2170,0
"3","ENSMUSG00000075837",4,0,0,NA,NA,NA
"4","ENSMUSG00000049950",95,0,0,0,109,0
"5","ENSMUSG00000026644",7,0,0,0,10,0
"6","ENSMUSG00000026645",2,0,0,0,10,0
"7","ENSMUSG00000026650",24,0,0,0,38,0
"8","ENSMUSG00000026648",260,0,0,0,362,0
"9","ENSMUSG00000026646",96,0,0,0,49,0
"10","ENSMUSG00000109865",460,0,0,0,556,0
"11","ENSMUSG00000051396",130,0,0,NA,NA,NA
"12","ENSMUSG00000039496",28,0,0,0,28,0
"13","ENSMUSG00000082580",1,0,0,0,1,0
"14","ENSMUSG00000026655",177,0,0,0,201,0
"15","ENSMUSG00000026657",1061,0,0,0,3160,0
"16","ENSMUSG00000086458",7,0,0,NA,NA,NA
"17","ENSMUSG00000081889",1,0,0,NA,NA,NA
"18","ENSMUSG00000104284",23,0,0,NA,NA,NA
"19","ENSMUSG00000102517",16,0,0,NA,NA,NA
"20","ENSMUSG00000084859",17,0,0,NA,NA,NA
"21","ENSMUSG00000086921",5,0,0,NA,NA,NA
"22","ENSMUSG00000102816",33,0,0,NA,NA,NA
"23","ENSMUSG00000102136",22,0,0,NA,NA,NA
"24","ENSMUSG00000102357",16,0,0,NA,NA,NA
"25","ENSMUSG00000087355",11,0,0,NA,NA,NA
"26","ENSMUSG00000102494",18,0,0,NA,NA,NA
"27","ENSMUSG00000086018",1,0,0,NA,NA,NA
"28","ENSMUSG00000039449",991,0,0,0,1179,0
"29","ENSMUSG00000048186",92,0,0,0,184,0
"30","ENSMUSG00000083407",1,0,0,0,1,0
"31","ENSMUSG00000026662",485,0,0,0,573,0
"32","ENSMUSG00000026664",991,0,0,0,1016,0
"33","ENSMUSG00000086670",8,0,0,0,8,0
"34","ENSMUSG00000082795",1,0,0,0,1,0
"35","ENSMUSG00000069188",2,0,0,0,2,0
"36","ENSMUSG00000026668",8,0,0,0,8,0
"37","ENSMUSG00000026669",22,0,0,0,58,0
"38","ENSMUSG00000026672",225,0,0,0,262,0
"39","ENSMUSG00000086430",8,0,0,NA,NA,NA
"40","ENSMUSG00000026676",74,0,0,0,84,0
"41","ENSMUSG00000081005",1,0,0,NA,NA,NA
"42","ENSMUSG00000080820",1,0,0,0,1,0
"43","ENSMUSG00000039145",2440,0,0,0,4505,0
"44","ENSMUSG00000039128",1100,0,0,0,1495,0
"45","ENSMUSG00000025817",320,0,0,0,457,0
"46","ENSMUSG00000056718",8,0,0,NA,NA,NA
"47","ENSMUSG00000025816",1038,0,0,0,1989,0
"48","ENSMUSG00000085818",1,0,0,NA,NA,NA
"49","ENSMUSG00000025815",216,0,0,0,224,0
"50","ENSMUSG00000043241",1298,0,0,0,1467,0
"51","ENSMUSG00000045319",26,0,0,0,35,0
